date,min_temp,max_temp,rain_chance,total_rainfall,conditions
9月29日(日),21,24,30%,0.0,曇のち晴れ
9月30日(月),19,23,50%,1.0,雨のち曇
10月1日(火),20,26,50%,1.5,雨のち晴れ
10月2日(水),22,30,10%,0.0,晴れのち曇
10月3日(木),21,25,60%,0.0,曇一時雨
10月4日(金),23,28,50%,2.0,雨のち晴れ
10月5日(土),20,24,60%,1.5,雨のち曇
10月6日(日),19,23,30%,0.0,曇
10月7日(月),21,28,30%,0.0,曇
10月8日(火),15,25,80%,1.5,雨時々止む
10月9日(水),15,17,70%,14.0,雨のち曇
10月10日(木),16,20,20%,0.0,曇のち晴れ
10月11日(金),15,25,10%,0.0,晴れ
10月12日(土),17,25,20%,0.0,晴れ
10月13日(日),17,25,10%,0.0,晴れ
10月14日(月),17,24,10%,0.0,晴れのち曇
10月15日(火),19,27,10%,0.0,晴れ
